"Reference","URN","Version"
"AF197961   ","142371","2"
"AF197961   ","142373","2"
"AF197961   ","142374","2"
"AF197961   ","142376","2"
"AF197961   ","142382","2"
"AF198163   ","141862","2"
"AF198976   ","142154","2"
"AF198976   ","142161","2"
"AF198991   ","139139","2"
"AF198991   ","141826","2"
"AF199354   ","141967","2"
"AF199354   ","142265","2"
"AF199542   ","137359","2"
"AF199542   ","142175","2"
"AF200161   ","138210","2"
"AF200161   ","142350","2"
"AF200161   ","142362","2"
"AF200404   ","141967","2"
"AF200404   ","142265","2"
"AF201084   ","142545","2"
"AF201352   ","136268","2"
"AF201352   ","142392","2"
"AF201649   ","141711","2"
"AF201649   ","141978","2"
"AF201805   ","142437","2"
"AF201867   ","142437","2"
"AF201936   ","142587","2"
"AF202065   ","136345","2"
"AF202065   ","136522","2"
"AF202669   ","141221","2"
"AF202669   ","141916","2"
